Player,Player & Season,HR,Season,Age,triples_over_xbh,(3b + 1)/(2b + 3b + 1),Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,Single Team,Team & Year,3B,2B,Sprint Speed
Nathaniel Lowe,Nathaniel Lowe 2022,27,2022,26,0.103,0.133,TEX,AL,157,645,593,74,179,123,26,3,27,76,TEX,TEX 2022,93,102,27.5
Andrew McCutchen,Andrew McCutchen 2021,27,2021,34,0.040,0.077,PHI,NL,144,574,482,78,107,55,24,1,27,80,PHI,PHI 2021,106,98,24.4
Austin Meadows,Austin Meadows 2021,27,2021,26,0.094,0.121,TBR,AL,142,591,518,79,121,62,29,3,27,106,TBR,TBR 2021,99,99,28.4
Bryan Reynolds,Bryan Reynolds 2022,27,2022,27,0.174,0.208,PIT,NL,145,614,542,74,142,92,19,4,27,62,PIT,PIT 2022,101,106,25.9
Jorge Soler,Jorge Soler 2021,27,2021,29,0.000,0.036,"ATL,KCR","AL,NL",149,602,516,74,115,61,27,0,27,70,ATL,ATL 2021,98,100,28.4
Juan Soto,Juan Soto 2022,27,2022,23,0.074,0.107,"SDP,WSN",NL,153,664,524,93,127,73,25,2,27,62,SDP,SDP 2022,82,96,29.5
Dansby Swanson,Dansby Swanson 2021,27,2021,27,0.057,0.083,ATL,NL,160,653,588,78,146,84,33,2,27,88,ATL,ATL 2021,98,100,27.3
Justin Turner,Justin Turner 2021,27,2021,36,0.000,0.043,LAD,NL,151,612,533,87,148,99,22,0,27,87,LAD,LAD 2021,81,98,28.8
Daulton Varsho,Daulton Varsho 2022,27,2022,25,0.115,0.148,ARI,NL,151,592,531,79,125,72,23,3,27,74,ARI,ARI 2022,118,104,25.7
Nolan Arenado,Nolan Arenado 2023,26,2023,32,0.071,0.103,STL,NL,144,612,560,71,149,95,26,2,26,93,STL,STL 2023,92,96,27.8
Cody Bellinger,Cody Bellinger 2023,26,2023,27,0.033,0.065,CHC,NL,130,556,499,95,153,97,29,1,26,97,CHC,CHC 2023,113,97,28.1
Carlos Correa,Carlos Correa 2021,26,2021,26,0.029,0.056,HOU,AL,148,640,555,104,155,94,34,1,26,92,HOU,HOU 2021,106,98,27.9
Josh Donaldson,Josh Donaldson 2021,26,2021,35,0.000,0.037,MIN,AL,135,543,457,73,113,61,26,0,26,72,MIN,MIN 2021,97,105,28.4
Brandon Drury,Brandon Drury 2023,26,2023,30,0.091,0.118,LAA,AL,125,523,485,61,127,68,30,3,26,83,LAA,LAA 2023,99,98,26.8
Vladimir Guerrero Jr.,Vladimir Guerrero Jr. 2023,26,2023,24,0.000,0.032,TOR,AL,156,682,602,78,159,103,30,0,26,94,TOR,TOR 2023,93,100,28.9
Teoscar Hernández,Teoscar Hernández 2023,26,2023,30,0.065,0.094,SEA,AL,160,678,625,70,161,104,29,2,26,93,SEA,SEA 2023,78,93,28.7
Francisco Lindor,Francisco Lindor 2022,26,2022,28,0.167,0.194,NYM,NL,161,706,630,98,170,114,25,5,26,107,NYM,NYM 2022,82,94,27.4
Marcus Semien,Marcus Semien 2022,26,2022,31,0.139,0.162,TEX,AL,161,724,657,101,163,101,31,5,26,83,TEX,TEX 2022,93,102,29.4
Jack Suwinski,Jack Suwinski 2023,26,2023,24,0.087,0.125,PIT,NL,144,534,447,63,100,51,21,2,26,74,PIT,PIT 2023,101,106,23.6
Trea Turner,Trea Turner 2023,26,2023,30,0.125,0.146,PHI,NL,155,691,639,102,170,104,35,5,26,76,PHI,PHI 2023,106,98,26.2
Willy Adames,Willy Adames 2021,25,2021,25,0.030,0.059,"MIL,TBR","AL,NL",140,555,497,77,130,72,32,1,25,73,MIL,MIL 2021,99,97,28.1
Alex Bregman,Alex Bregman 2023,25,2023,29,0.125,0.152,HOU,AL,161,724,622,103,163,106,28,4,25,98,HOU,HOU 2023,106,98,26.7
Seth Brown,Seth Brown 2022,25,2022,29,0.103,0.133,OAK,AL,150,555,500,55,115,61,26,3,25,73,OAK,OAK 2022,99,101,26
Kris Bryant,Kris Bryant 2021,25,2021,29,0.059,0.086,"CHC,SFG",NL,144,586,513,86,136,77,32,2,25,73,CHC,CHC 2021,113,97,26.7
Corbin Carroll,Corbin Carroll 2023,25,2023,22,0.250,0.268,ARI,NL,155,645,565,116,161,96,30,10,25,76,ARI,ARI 2023,118,104,26.7
Paul Goldschmidt,Paul Goldschmidt 2023,25,2023,35,0.000,0.031,STL,NL,154,687,593,89,159,103,31,0,25,80,STL,STL 2023,92,96,29.7
Ian Happ,Ian Happ 2021,25,2021,26,0.048,0.091,CHC,NL,148,535,465,63,105,59,20,1,25,66,CHC,CHC 2021,113,97,27.4
Teoscar Hernández,Teoscar Hernández 2022,25,2022,29,0.028,0.054,TOR,AL,131,535,499,71,133,72,35,1,25,77,TOR,TOR 2022,93,100,24.6
Ketel Marte,Ketel Marte 2023,25,2023,29,0.257,0.278,ARI,NL,150,650,569,94,157,97,26,9,25,82,ARI,ARI 2023,118,104,26.7
George Springer,George Springer 2022,25,2022,32,0.154,0.185,TOR,AL,133,583,513,89,137,86,22,4,25,76,TOR,TOR 2022,93,100,28
Dansby Swanson,Dansby Swanson 2022,25,2022,28,0.030,0.059,ATL,NL,162,696,640,99,177,119,32,1,25,96,ATL,ATL 2022,98,100,26.6
Fernando Tatis Jr.,Fernando Tatis Jr. 2023,25,2023,24,0.029,0.057,SDP,NL,141,635,575,91,148,89,33,1,25,78,SDP,SDP 2023,82,96,
Gleyber Torres,Gleyber Torres 2023,25,2023,26,0.067,0.097,NYY,AL,158,672,596,90,163,108,28,2,25,68,NYY,NYY 2023,85,94,28.8
Patrick Wisdom,Patrick Wisdom 2022,25,2022,30,0.000,0.034,CHC,NL,134,534,469,67,97,44,28,0,25,66,CHC,CHC 2022,113,97,
Mike Yastrzemski,Mike Yastrzemski 2021,25,2021,30,0.097,0.125,SFG,NL,139,532,468,75,105,49,28,3,25,71,SFG,SFG 2021,113,99,
Willy Adames,Willy Adames 2023,24,2023,27,0.065,0.094,MIL,NL,149,638,553,73,120,65,29,2,24,80,MIL,MIL 2023,99,97,27.4
